Age,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Churned,Cart_Abandonment_Rate_log,Discount_Usage_Rate_log,Recency,Frequency,Monetary,Engagement_Index,Support_Intensity,Purchase_to_Login_Ratio,Discount_to_Order_Value,Return_to_Purchase_Ratio,Signup_Quarter_Num,Lifetime_Value_Squared,High_Returns_Flag,Cross_Channel_Engagement,Gender_Male,Gender_Other,Country_Canada,Country_France,Country_Germany,Country_India,Country_Japan,Country_UK,Country_USA,City_Bangalore,City_Berlin,City_Birmingham,City_Brisbane,City_Calgary,City_Chennai,City_Chicago,City_Cologne,City_Delhi,City_Frankfurt,City_Glasgow,City_Hamburg,City_Houston,City_Hyderabad,City_Kyoto,City_Leeds,City_London,City_Los Angeles,City_Lyon,City_Manchester,City_Marseille,City_Melbourne,City_Montreal,City_Mumbai,City_Munich,City_Nagoya,City_New York,City_Nice,City_Osaka,City_Ottawa,City_Paris,City_Perth,City_Phoenix,City_Sydney,City_Tokyo,City_Toronto,City_Toulouse,City_Vancouver,City_Yokohama,Signup_Quarter_Q2,Signup_Quarter_Q3,Signup_Quarter_Q4,Membership_Stage_Growing,Membership_Stage_Newbie,Seasonal_Activity_Low,Seasonal_Activity_Moderate,Seasonal_Activity_Peak,Cluster,Segment_Name,Anomaly_Flag
43.0,2.9,14.0,27.4,6.0,50.6,3.0,9.0,94.72,34.0,46.4,2.0,17.9,9.0,4.0,16.3,20.8,1.0,953.33,2278.0,0,3.9435216724875173,3.858622228701031,331.0,3.1023784901758016,852.48,13.20312139222384,0.9,0.6,0.48474717927287925,0.2,1,908838.0889000001,0,339.04,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Cost-Sensitive,0
36.0,1.6,15.0,42.7,10.3,37.7,1.0,19.5,82.45,71.0,57.96,9.2,42.8,7.0,3.0,33.84,23.3,3.0,1067.47,3028.0,0,3.655839600035736,4.076859247881081,294.0,12.179887570268582,1607.775,18.755074182240993,0.34146341463414637,1.21875,0.6945476333133613,0.448780487804878,4,1139492.2009,1,788.4720000000001,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,Cost-Sensitive,0
45.0,2.9,10.0,24.8,1.6,70.9,1.0,9.1,165.52,11.0,12.239999999999998,11.5,0.0,4.0,1.0,15.940000000000001,8.8,2.0,1289.75,2317.0,0,4.275276264727001,2.583242550508862,354.0,3.136849362288866,1506.232,7.34836220005691,0.39603960396039606,0.8272727272727273,0.07350468412202738,1.1386138613861387,4,1663455.0625,1,140.27200000000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,Cost-Sensitive,0
56.0,2.6,10.0,38.4,14.8,41.7,9.0,15.0,147.33,47.0,44.1,5.4,41.4,2.0,5.0,85.9,31.0,3.0,2340.92,2674.0,0,3.754198920234579,3.8088822465086327,318.0,5.767012687427912,2209.9500000000003,17.845592835804958,0.125,1.3636363636363635,0.2973100519112789,0.3375,1,5479906.446400001,0,2662.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Cost-Sensitive,0
35.0,3.1,29.0,51.4,15.98,19.1,9.0,32.5,141.3,73.0,25.2,5.5,37.9,1.0,11.0,83.0,50.4,4.0,3041.29,5089.5,0,3.0007198150650303,3.265759410767051,292.0,10.480490164463076,4592.25,28.772612531425953,0.029850746268656716,1.0833333333333333,0.17709065354884046,0.16417910447761194,4,9249444.8641,0,4183.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,-1,Cost-Sensitive,1
35.0,3.5,6.0,21.9,6.9,74.4,0.0,12.0,190.97,29.0,60.2,11.0,16.0,8.0,2.0,14.3,11.2,2.0,1995.43,2418.0,1,4.32280727501391,4.11414718951828,336.0,3.4275921165381322,2291.64,9.67865074653219,0.6153846153846154,1.7142857142857142,0.31359066520810547,0.8461538461538461,1,3981740.8849000004,1,160.16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Cost-Sensitive,0
56.0,1.9,24.0,46.4,13.9,36.2,5.0,20.0,169.58,10.0,27.8,5.5,35.5,4.0,6.0,68.8,42.9,5.0,3003.57,2657.0,0,3.616308761279101,3.3603753871419,355.0,10.520778537611784,3391.6000000000004,24.92191100498265,0.19047619047619047,0.8,0.1629733849220307,0.2619047619047619,1,9021432.744900001,0,2951.52,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,Cost-Sensitive,0
47.0,1.6,14.0,24.1,8.3,59.9,2.0,13.0,161.98,6.0,77.16,6.3,5.5,5.0,2.0,30.1,7.6,2.0,1394.04,2274.0,0,4.109233174715851,4.358758007734528,359.0,8.119925046845722,2105.74,14.095302158769432,0.35714285714285715,0.8666666666666667,0.4734323229844153,0.45,4,1943347.5215999999,0,228.76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,Cost-Sensitive,0
32.0,1.3,14.0,13.52,7.4,66.5,4.0,6.0,77.79,13.0,1.8,9.9,19.0,2.0,0.0,0.0,18.7,2.0,537.21,534.0,0,4.212127597878484,1.0296194171811581,352.0,4.611837048424289,466.74,11.188679036813273,0.2857142857142857,0.4,0.022845538773956085,1.4142857142857144,1,288594.58410000004,1,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,Cost-Sensitive,0
44.0,3.6,13.0,31.3,5.4,62.6,3.0,9.0,90.95,38.0,65.5,5.4,11.7,2.0,1.0,13.5,21.5,2.0,807.84,977.0,0,4.152613470346076,4.197201947661808,327.0,2.4993057484032213,818.5500000000001,13.000512800284543,0.2,0.6428571428571429,0.7123436650353453,0.54,2,652605.4656,0,290.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,Cost-Sensitive,0
32.0,0.9,0.0,12.3,2.9,73.5,0.0,5.0,118.0,23.0,46.2,5.1,0.0,11.0,2.0,17.0,8.0,1.0,599.41,498.0,1,4.310799125385514,3.8543938925915096,342.0,5.549389567147614,590.0,0.0,1.8333333333333333,5.0,0.38823529411764707,0.85,2,359292.34809999994,0,136.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,Cost-Sensitive,0
32.0,0.6,11.0,12.1,5.6,77.2,0.0,5.0,78.88,36.0,72.0,4.8,4.0,7.0,1.0,0.0,17.7,2.0,335.92,1369.0,1,4.359269647551265,4.290459441148391,329.0,8.319467554076539,394.4,9.066827659578824,1.1666666666666667,0.4166666666666667,0.9013520280420632,0.7999999999999999,3,112842.2464,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Cost-Sensitive,0
40.0,7.1,10.0,19.2,7.0,69.1,6.0,10.0,123.99,38.0,59.0,1.9,9.6,4.0,2.0,17.7,15.079999999999998,4.0,1229.94,2446.0,0,4.249922794040544,4.0943445622221,327.0,1.408252358822701,1239.8999999999999,11.035696705524481,0.36363636363636365,0.9090909090909091,0.4720377630210417,0.17272727272727273,1,1512752.4036,0,266.91599999999994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cost-Sensitive,0
18.0,3.1,13.0,26.1,8.9,47.7,2.0,11.0,107.58,3.0,22.9,0.2,19.0,8.0,4.0,9.56,21.5,3.0,1083.91,2772.0,1,3.885679030088544,3.173878458937465,362.0,3.547242824895195,1183.3799999999999,14.45410777880123,0.6666666666666666,0.7857142857142857,0.2109044022840302,0.016666666666666666,3,1174860.8881,0,205.54000000000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Cost-Sensitive,0
